# blade,v2_Ra20
# notes,"PETG, 0.2mm, Ra 20"
# fan_rpm,500
# wind_mps,10.24
# instrument,"Chroma,63004-150-60,630041501113,2.01"
# protocol,94bed28333f7
# protocol_detail,scaling=v2;step=0.02000;frac=0.0000;dwell=1.00;voff=0.500;range=low;floor=0.00000;operate=80.0;collapse=0.700;confirm=2
fan_rpm,wind_mps,blade,demand_a,held_a,volts,amps,watts,tracking,note,fan_rpm_actual,motor_amps
1500,31.56,v2_Ra20,0.0069,0.0069,18.1140,0.0069,0.1250,1,,1484,10.90
1500,31.56,v2_Ra20,0.0138,0.0138,17.5088,0.0138,0.2416,1,,1484,10.90
1500,31.56,v2_Ra20,0.0277,0.0277,16.7733,0.0277,0.4646,1,,1484,10.90
1500,31.56,v2_Ra20,0.0415,0.0415,15.8476,0.0415,0.6577,1,,1484,10.90
1500,31.56,v2_Ra20,0.0553,0.0553,15.3531,0.0553,0.8490,1,,1484,10.90
1500,31.56,v2_Ra20,0.0691,0.0691,14.5807,0.0691,1.0075,1,,1484,10.90
1500,31.56,v2_Ra20,0.0830,0.0830,14.6649,0.0830,1.2172,1,,1484,10.90
1500,31.56,v2_Ra20,0.0968,0.0968,13.9708,0.0968,1.3524,1,,1484,10.90
1500,31.56,v2_Ra20,0.1106,0.1106,13.0231,0.1106,1.4404,1,,1484,10.90
1500,31.56,v2_Ra20,0.1244,0.1244,12.6347,0.1244,1.5718,1,,1484,10.90
1500,31.56,v2_Ra20,0.1383,0.1383,12.4734,0.1383,1.7251,1,,1484,10.90
1500,31.56,v2_Ra20,0.1521,0.1521,11.4308,0.1521,1.7386,1,,1484,10.90
1500,31.56,v2_Ra20,0.1659,0.1659,11.0177,0.1659,1.8278,1,,1484,10.90
1500,31.56,v2_Ra20,0.1797,0.1797,10.5932,0.1797,1.9036,1,,1484,10.90
1500,31.56,v2_Ra20,0.1936,0.1936,10.2389,0.1936,1.9823,1,,1484,10.90
1500,31.56,v2_Ra20,0.2074,0.2074,9.7254,0.2074,2.0170,1,,1484,10.90
1500,31.56,v2_Ra20,0.2212,0.2212,9.0863,0.2212,2.0099,1,,1484,10.90
1500,31.56,v2_Ra20,0.2351,0.2351,8.6339,0.2351,2.0298,1,,1484,10.90
1500,31.56,v2_Ra20,0.2489,0.2489,8.1829,0.2489,2.0367,1,,1484,10.90
